Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
SONELO,1.765881886,0.293160318,10.63697453,0.286003099,10.90316451,1.091504937,0,CERTO
TILDRA,1.136709319,0.369665686,3.495342215,0.363993972,3.549806247,1.74486859,0,CERTO
USK,1.382961356,0.573443758,3.335256657,0.566537084,3.375916895,2.226456719,0,CERTO
ADA,1.181310445,0.598714156,2.330819063,0.593139665,2.352724744,2.884069107,0,APRE
BIME,0.61227419,0.244573899,1.53278696,0.241504042,1.552270844,2.135861042,0,APRE
BRODA,1.209904431,0.568436782,2.575253361,0.562556855,2.602170288,2.59462935,0,APRE
CERTO,0.819585739,0.306420993,2.192150011,0.302299352,2.222038451,1.992195746,0,APRE
CICLO,6.63987335,0.356376788,123.7115311,0.342314162,128.7937311,0.670117635,0,APRE
DEUCRAVA,0.713042402,0.070926825,7.168366334,0.068709083,7.399741685,0.849259781,0,APRE
ETA,0.934078634,0.485584599,1.796809239,0.481231574,1.813062444,2.99599316,0,APRE
FUM,1.025501828,0.377000488,2.789529543,0.371843226,2.828218792,1.958646814,0,APRE
GUSEL,1.060165662,0.542678703,2.071117265,0.537699452,2.090296403,2.926845194,0,APRE
IFX,1.383827612,0.557377531,3.435694392,0.550444267,3.478969579,2.155348347,0,APRE
IXE,1.06359664,0.539886663,2.095324612,0.534871262,2.114972129,2.890632622,0,APRE
MTX,0.093418131,0.010132769,0.861259907,0.009827642,0.888000118,0.882361863,0,APRE
NETA,0.923519618,0.036479692,23.37981566,0.034892649,24.44321415,0.60654143,0,APRE
PBO,1.172558616,0.673812722,2.04046861,0.668694109,2.056087663,3.537961826,0,APRE
RISAN,0.856117584,0.423012028,1.732663065,0.418926901,1.749558972,2.780113779,0,APRE
SECU,1.246501609,0.657845693,2.361900789,0.652083784,2.382770895,3.06668891,0,APRE
SONELO,1.447291611,0.266160082,7.869899173,0.260028064,8.055488225,1.157468037,0,APRE
TILDRA,0.931630748,0.36085749,2.405203922,0.35617707,2.436810015,2.066522135,0,APRE
USK,1.133455406,0.594285241,2.161792127,0.589027008,2.181090406,3.035621853,0,APRE
ADA,1.110675232,0.648008338,1.903678393,0.643220057,1.917849821,3.637579337,0,IXE
APRE,0.940206054,0.47725302,1.852240606,0.47281947,1.869608764,2.890632622,0,IXE
BIME,0.5756639,0.252507373,1.312393067,0.249659311,1.327364577,2.378399659,0,IXE
BRODA,1.137559471,0.59612767,2.170745659,0.590848915,2.190139507,3.033184381,0,IXE
CERTO,0.770579474,0.311577201,1.905764361,0.307717859,1.929666117,2.164560368,0,IXE
CICLO,6.242849122,0.343406195,113.4899886,0.329967016,118.1123059,0.675797295,0,IXE
DEUCRAVA,0.670406783,0.068801529,6.532489317,0.066678901,6.740441831,0.860910774,0,IXE
ETA,0.878226386,0.548566793,1.405993938,0.545024893,1.415130933,4.164936966,0,IXE
FUM,0.964183027,0.381799375,2.434914698,0.376961818,2.466161996,2.115749037,0,IXE
GUSEL,0.996774174,0.63269956,1.570348418,0.628753481,1.58020398,4.3121603,0,IXE
IFX,1.301083098,0.570649953,2.966472211,0.564212801,3.000316947,2.378131762,0,IXE
MTX,0.087832293,0.009841291,0.783892201,0.009549209,0.807869184,0.895450539,0,IXE
NETA,0.868298736,0.035069507,21.49852571,0.03355408,22.46947911,0.610743384,0,IXE
PBO,1.10244671,0.735588105,1.652268082,0.731502702,1.66149591,4.844087747,0,IXE
RISAN,0.804926935,0.453734313,1.4279444,0.450168237,1.439256077,3.419163068,0,IXE
SECU,1.171968359,0.734210752,1.870729668,0.729499852,1.882810302,4.191223659,0,IXE
SONELO,1.360752335,0.262104912,7.064525825,0.256229575,7.226515192,1.190007702,0,IXE
TILDRA,0.875924869,0.373958695,2.051682143,0.36960312,2.075860119,2.302807504,0,IXE
USK,1.065681634,0.654721834,1.734595192,0.650346234,1.746265736,4.023323448,0,IXE
ADA,1.114269673,0.693922923,1.789243247,0.689414058,1.800945148,4.138569658,0,GUSEL
APRE,0.943248811,0.482831183,1.842710973,0.478401053,1.859775003,2.926845194,0,GUSEL
BIME,0.577526901,0.259092416,1.287329543,0.256249477,1.301611716,2.445200664,0,GUSEL
BRODA,1.141240916,0.60758125,2.143632362,0.602332054,2.162313661,3.109208265,0,GUSEL
CERTO,0.773073274,0.314898385,1.897889338,0.311029463,1.921497342,2.182327112,0,GUSEL
CICLO,6.263052643,0.345567978,113.5111785,0.332058112,118.1294085,0.676507408,0,GUSEL
DEUCRAVA,0.672576398,0.06929249,6.528254502,0.067158301,6.735712509,0.862380306,0,GUSEL
ETA,0.88106856,0.52863554,1.468463145,0.524931489,1.478824998,3.836846263,0,GUSEL
FUM,0.96730338,0.386720371,2.419515234,0.381870792,2.450241938,2.13784683,0,GUSEL
IFX,1.305293749,0.577263992,2.951494976,0.570817383,2.984828112,2.402303163,0,GUSEL
IXE,1.003236266,0.636801355,1.580528995,0.632829693,1.590448451,4.3121603,0,GUSEL
MTX,0.088116541,0.009913064,0.783261885,0.009619385,0.807174751,0.897104482,0,GUSEL
NETA,0.871108782,0.035279924,21.50884779,0.033756682,22.47941614,0.611267381,0,GUSEL
PBO,1.10601452,0.75470994,1.62084538,0.75075011,1.629394527,5.128408807,0,GUSEL
RISAN,0.807531893,0.472709489,1.379510615,0.469237964,1.389716538,3.660120204,0,GUSEL
SECU,1.175761161,0.817986434,1.690021069,0.813911463,1.698482416,5.402049441,0,GUSEL
SONELO,1.365156091,0.265750455,7.012786322,0.259831243,7.172544509,1.197702617,0,GUSEL
TILDRA,0.878759595,0.372724725,2.071819696,0.368350381,2.096423587,2.285257985,0,GUSEL
USK,1.069130464,0.675800484,1.691386697,0.671547,1.7020997,4.272916815,0,GUSEL
ADA,1.379846025,0.823762101,2.31131664,0.817933754,2.327786379,3.799587873,0,RISAN
APRE,1.168063849,0.577146255,2.363998972,0.571572617,2.387051293,2.780113779,0,RISAN
BIME,0.715175346,0.314471076,1.626463658,0.310934594,1.644962593,2.385485587,0,RISAN
BRODA,1.413245627,0.732490469,2.726674661,0.725894212,2.751452166,2.982377171,0,RISAN
CERTO,0.957328473,0.379838188,2.412811124,0.375035725,2.443708009,2.120291438,0,RISAN
CICLO,7.75579602,0.424524916,141.693384,0.407883386,147.4744352,0.674646538,0,RISAN
DEUCRAVA,0.832879052,0.084938794,8.16691033,0.082311171,8.427622965,0.858535472,0,RISAN
ETA,1.091063484,0.615733176,1.933336667,0.610903517,1.948621168,3.426007659,0,RISAN
FUM,1.197851612,0.467091616,3.071878056,0.461075791,3.111957975,2.081210777,0,RISAN
GUSEL,1.238341183,0.724894748,2.115464197,0.719571202,2.131114866,3.660120204,0,RISAN
IFX,1.616399006,0.694572003,3.761662915,0.686543362,3.805652918,2.320459521,0,RISAN
IXE,1.242348785,0.700307379,2.203932943,0.694803389,2.221391731,3.419163068,0,RISAN
MTX,0.109118342,0.012146486,0.980268058,0.011784925,1.010342704,0.892778626,0,RISAN
NETA,1.078729879,0.043374176,26.8283636,0.041497332,28.04175821,0.609893589,0,RISAN
PBO,1.36962333,0.883257566,2.123806393,0.877940356,2.136669142,4.46800851,0,RISAN
SECU,1.455993467,0.89977029,2.356064653,0.893829031,2.371725355,4.072268266,0,RISAN
SONELO,1.690529009,0.323185187,8.842881551,0.315907962,9.046585315,1.184596889,0,RISAN
TILDRA,1.088204197,0.446892273,2.649829601,0.441451206,2.682489839,2.202330027,0,RISAN
USK,1.323948283,0.83433606,2.10087894,0.829050127,2.114273913,4.244836963,0,RISAN
ADA,1.656718369,0.17029249,16.11765589,0.165042311,16.63037638,0.861509473,0,DEUCRAVA
APRE,1.402441141,0.139501799,14.09903792,0.135139853,14.55411648,0.849259781,0,DEUCRAVA
BIME,0.858678513,0.081304237,9.068762194,0.078708579,9.367832528,0.831496241,0,DEUCRAVA
BRODA,1.696819752,0.170330698,16.90357229,0.165025514,17.44698256,0.852630177,0,DEUCRAVA
CERTO,1.149420759,0.105962232,12.46829226,0.102541621,12.88421291,0.822171559,0,DEUCRAVA
CICLO,9.312031559,0.24386729,355.5783623,0.231941996,373.8604187,0.538101074,0,DEUCRAVA
ETA,1.309990305,0.134678686,12.74199096,0.130526841,13.14729282,0.861582704,0,DEUCRAVA
FUM,1.438205954,0.131731758,15.70188088,0.127467947,16.22710981,0.819951929,0,DEUCRAVA
GUSEL,1.486819941,0.153180303,14.43157833,0.148462393,14.89019196,0.862380306,0,DEUCRAVA
IFX,1.940736775,0.184322824,20.434036,0.178445795,21.10702152,0.832577833,0,DEUCRAVA
IXE,1.491631686,0.153081,14.53456065,0.148358227,14.99724773,0.860910774,0,DEUCRAVA
MTX,0.131013431,0.005867179,2.925514749,0.005621632,3.053298274,0.631051762,0,DEUCRAVA
NETA,1.295181907,0.026403544,63.5329932,0.025025962,67.03023853,0.503479636,0,DEUCRAVA
PBO,1.644444444,0.174992437,15.45322515,0.169678292,15.93720388,0.874837871,0,DEUCRAVA
RISAN,1.200654521,0.122445326,11.77318338,0.11865742,12.14901922,0.858535472,0,DEUCRAVA
SECU,1.748145139,0.181728001,16.81640367,0.176152603,17.34865897,0.865801052,0,DEUCRAVA
SONELO,2.029741299,0.12932352,31.85692554,0.124514023,33.08743591,0.711861014,0,DEUCRAVA
TILDRA,1.306557289,0.121812751,14.01406609,0.117898743,14.47930581,0.82607501,0,DEUCRAVA
USK,1.589604492,0.164923705,15.32128108,0.159859552,15.80664032,0.865052841,0,DEUCRAVA
ADA,1.929381419,0.902012794,4.126895634,0.892621901,4.170312937,2.577841547,0,BIME
APRE,1.633255193,0.652406385,4.088743743,0.644217472,4.140717445,2.135861042,0,BIME
BRODA,1.976082696,0.816498712,4.782497223,0.806625507,4.841035632,2.217579905,0,BIME
CERTO,1.338592665,0.447735089,4.001987706,0.441036255,4.062773304,1.789672645,0,BIME
CICLO,10.84460763,0.559758135,210.1005906,0.537381091,218.8493726,0.661286749,0,BIME
DEUCRAVA,1.164580206,0.110268632,12.29948203,0.106748279,12.70509529,0.831496241,0,BIME
ETA,1.525588779,0.670004784,3.473738069,0.662458957,3.513306143,2.381962669,0,BIME
FUM,1.674906187,0.552156648,5.080642866,0.543786894,5.158842123,1.766273933,0,BIME
GUSEL,1.731521073,0.776801873,3.85962667,0.768278272,3.902446986,2.445200664,0,BIME
IFX,2.260143634,0.807903714,6.32284412,0.796544212,6.413014074,1.9052419,0,BIME
IXE,1.737124736,0.761966841,3.960280401,0.753372523,4.005458463,2.378399659,0,BIME
MTX,0.152575648,0.015723652,1.480529316,0.015239428,1.527572301,0.862488366,0,BIME
NETA,1.508343212,0.057508651,39.56099122,0.054979953,41.38052394,0.599969685,0,BIME
PBO,1.915087449,0.920367973,3.984884355,0.911131823,4.02527916,2.674873233,0,BIME
RISAN,1.39825849,0.614830829,3.179942696,0.607916559,3.216110459,2.385485587,0,BIME
SECU,2.035855227,0.933613721,4.439423296,0.923648646,4.487319418,2.51408242,0,BIME
SONELO,2.36379654,0.407571995,13.70931798,0.397828899,14.04506835,1.115025891,0,BIME
TILDRA,1.521590757,0.523312532,4.424198333,0.51568051,4.489676043,1.836353273,0,BIME
USK,1.851221927,0.867048508,3.95251545,0.858043122,3.993998131,2.584026079,0,BIME
ADA,1.151934021,0.457925621,2.89774568,0.452147754,2.934775146,2.124682446,0,FUM
APRE,0.975132342,0.358483387,2.652516459,0.353579434,2.689305411,1.958646814,0,FUM
BIME,0.597048365,0.196825486,1.81108025,0.193841947,1.838955685,1.766273933,0,FUM
BRODA,1.179816942,0.443034412,3.141895937,0.437101499,3.184541855,2.001088089,0,FUM
CERTO,0.799204562,0.249192002,2.56319596,0.245226548,2.604644307,1.68183573,0,FUM
CICLO,6.474755254,0.325475102,128.8038788,0.312350031,134.2162683,0.655435069,0,FUM
DEUCRAVA,0.695310708,0.063686638,7.591183915,0.061625269,7.845109506,0.819951929,0,FUM
ETA,0.910850286,0.36226093,2.290195202,0.357692458,2.319445725,2.125781653,0,FUM
GUSEL,1.033801825,0.413305932,2.585847746,0.408122963,2.618686794,2.13784683,0,FUM
IFX,1.349415061,0.447763658,4.066701202,0.441015899,4.128923715,1.776712644,0,FUM
IXE,1.037147483,0.410692005,2.619176628,0.405488367,2.652788563,2.115749037,0,FUM
