,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,age,male,weight,pasi_score,sample_size,male_percentage,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,rAE1,rAE2,nAE1,nAE2,r21,r22,dlqi1,dlqi2,sddlqi1,sddlqi2,ndlqi1,ndlqi2
10,FIXTURE_2014,PBO,SECU,-3.437355305284891,0.44565523844647437,5,326,312,326,0.09007416652017562,0.5029703976631361,6,654,11,654,0.0,0,9,FIXTURE_2014,2014,1,44.0,929.0,83.0,23.5,1306,0.71,34,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,5,312,163,372,326,654,6,11,-1.8999999,-10.049999,,,326,654
11,Papp_2013a,PBO,SECU,-1.452045738682671,0.9974150172728387,1,22,20,22,1.1382214267631554,0.8821394731076885,2,103,3,103,0.0,0,10,Papp_2013a,2013,3,46.0,91.0,91.0,21.0,125,0.73,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,20,8,51,22,103,2,3,0.0,0.0,,,22,103
12,Rich_2013,PBO,SECU,-2.6750691301869955,0.9979007455414656,1,67,73,67,-0.8695163388266047,1.0322018219072082,1,337,12,337,0.0,0,11,Rich_2013,2013,1,44.0,306.0,,20.5,404,0.76,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,1,73,47,221,67,337,1,12,0.0,0.0,,,67,337
13,Flystrom_2008,CICLO,MTX,0.7633021672270742,0.5598794988702334,9,43,4,43,,,0,41,0,41,0.5,0,14,Flystrom_2008,2008,3,46.5,55.0,86.0,15.0,84,0.65,,RR,beneficial,RR,harmful,CICLO,MTX,CSA,CSA,9,4,30,29,43,41,0,0,0.0,0.0,,,43,41
14,Heydendael_2003,CICLO,MTX,-0.1941560144409575,0.2912001981211391,14,44,17,44,,,0,44,0,44,0.5,0,15,Heydendael_2003,2003,3,42.5,57.0,,13.5,88,0.65,,RR,beneficial,RR,harmful,CICLO,MTX,CSA,CSA,14,17,35,29,44,44,0,0,0.0,0.0,,,44,44
15,EXPRESS_2005,IFX,PBO,3.784189633918261,0.9947384989861138,172,301,1,301,0.7767613206010788,0.7365556715473306,17,77,2,77,0.0,0,17,EXPRESS_2005,2005,1,43.0,268.0,,23.0,378,0.71,,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,172,1,0,0,301,77,17,2,-10.3,-0.40000001,7.0999999,5.6999998,301,77
16,Torii_2010,IFX,PBO,3.0644434152179776,1.4042189949988189,19,35,0,35,-0.6109090823229733,1.3852064800892332,1,19,1,19,0.0,0,18,Torii_2010,2010,2,45.0,36.0,69.0,32.0,54,0.67,25,RR,beneficial,RR,harmful,IFX,PBO,ATA,PBO,19,0,34,11,35,19,1,1,-9.8999996,-0.40000001,7.0999999,6.1999998,35,19
17,Papp_2012a,BRODA,PBO,3.759750104564423,1.4067581984081345,89,160,0,160,-0.7444404749474958,1.2113769894324045,2,38,1,38,0.0,0,19,Papp_2012a,2012,1,42.5,127.0,90.0,19.0,198,0.64,30,RR,beneficial,RR,harmful,BRODA,PBO,AIL17,PBO,89,0,116,23,160,38,2,1,3.5974998,10.3,4.8500175,7.5999999,160,38
18,ESTEEM-1_2015,APRE,PBO,3.3177384062768933,1.0064076507362378,55,562,1,562,-0.28412967084741303,0.4505639517448641,12,282,8,282,0.0,0,20,ESTEEM-1_2015,2015,1,46.5,573.0,93.5,19.0,844,0.68,31,RR,beneficial,RR,harmful,APRE,PBO,SM,PBO,55,1,248,85,562,282,12,8,-6.5999999,-2.0999999,6.6599998,5.6900001,562,282
19,Asahina_2010,ADA,PBO,3.7681432848885286,1.4098896275992094,57,123,0,123,-0.2903957783233771,0.8486052016482132,4,46,2,46,0.0,0,21,Asahina_2010,2010,2,45.0,143.0,70.0,28.0,169,0.85,,RR,beneficial,RR,harmful,ADA,PBO,ATA,PBO,57,0,114,41,123,46,4,2,-5.3081303,1.0,5.6695976,6.96,123,46
